================ 定向侦查：Interleaved [I,Q], 强制固定 T=033 ================
说明：这里将所有文件强制与目标时刻 T=33 的理想32位导频进行逐位对齐。
如果解出的序列匹配该位，显示为对应的 0 或 1；如果不匹配，将在该位用字母 X 高亮标出。

位索引标尺:     12345678901234567890123456789012
理想目标(T=33): 00111011101110100001101101111010

文件编号  | 最优相位 | 误差/32 |  按位重合情况透视图 (X为报错位)
File 168 | Ph 1 (000°) | 16/32  |  XXXXXXXXX0X1XXXX0001X0X101111010
File 169 | Ph 2 (090°) | 04/32  |  001110111X1X10100001X0X101111010
File 170 | Ph 1 (000°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 171 | Ph 1 (000°) | 16/32  |  0X1XX01X10XXX0X0X00X10XX0XX11X1X
File 172 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 173 | Ph 1 (000°) | 16/32  |  XXXXXXXXX0X1XXXX0001X0X101111010

================ 强制约束统计信息 ================
1. 总体平均误差: 10.23 / 32 bits

2. 【常报错比特位置侦测排行】 (在所有173个文件中，累计错误率最高的位):
   比特索引 12 (即第 6 根载波的 Q 通道) -> 共报错 138 次 (错误率 79.77%)
   比特索引 21 (即第 11 根载波的 I 通道) -> 共报错 138 次 (错误率 79.77%)
   比特索引 10 (即第 5 根载波的 Q 通道) -> 共报错 129 次 (错误率 74.57%)
   比特索引 23 (即第 12 根载波的 I 通道) -> 共报错 107 次 (错误率 61.85%)
   比特索引 19 (即第 10 根载波的 I 通道) -> 共报错 066 次 (错误率 38.15%)
   比特索引 22 (即第 11 根载波的 Q 通道) -> 共报错 066 次 (错误率 38.15%)
   比特索引 28 (即第 14 根载波的 Q 通道) -> 共报错 066 次 (错误率 38.15%)
   比特索引 29 (即第 15 根载波的 I 通道) -> 共报错 066 次 (错误率 38.15%)
   比特索引 18 (即第 9 根载波的 Q 通道) -> 共报错 065 次 (错误率 37.57%)
   比特索引 25 (即第 13 根载波的 I 通道) -> 共报错 065 次 (错误率 37.57%)
   比特索引 31 (即第 16 根载波的 I 通道) -> 共报错 065 次 (错误率 37.57%)
   比特索引 05 (即第 3 根载波的 I 通道) -> 共报错 045 次 (错误率 26.01%)
   比特索引 11 (即第 6 根载波的 I 通道) -> 共报错 045 次 (错误率 26.01%)
   比特索引 13 (即第 7 根载波的 I 通道) -> 共报错 045 次 (错误率 26.01%)
   比特索引 02 (即第 1 根载波的 Q 通道) -> 共报错 044 次 (错误率 25.43%)
   比特索引 04 (即第 2 根载波的 Q 通道) -> 共报错 044 次 (错误率 25.43%)
   比特索引 08 (即第 4 根载波的 Q 通道) -> 共报错 044 次 (错误率 25.43%)
   比特索引 15 (即第 8 根载波的 I 通道) -> 共报错 044 次 (错误率 25.43%)
   比特索引 26 (即第 13 根载波的 Q 通道) -> 共报错 036 次 (错误率 20.81%)
   比特索引 01 (即第 1 根载波的 I 通道) -> 共报错 035 次 (错误率 20.23%)
   比特索引 03 (即第 2 根载波的 I 通道) -> 共报错 035 次 (错误率 20.23%)
   比特索引 06 (即第 3 根载波的 Q 通道) -> 共报错 035 次 (错误率 20.23%)
   比特索引 17 (即第 9 根载波的 I 通道) -> 共报错 035 次 (错误率 20.23%)
   比特索引 20 (即第 10 根载波的 Q 通道) -> 共报错 035 次 (错误率 20.23%)
   比特索引 24 (即第 12 根载波的 Q 通道) -> 共报错 035 次 (错误率 20.23%)
   比特索引 27 (即第 14 根载波的 I 通道) -> 共报错 035 次 (错误率 20.23%)
   比特索引 30 (即第 15 根载波的 Q 通道) -> 共报错 035 次 (错误率 20.23%)
   比特索引 32 (即第 16 根载波的 Q 通道) -> 共报错 035 次 (错误率 20.23%)
   比特索引 07 (即第 4 根载波的 I 通道) -> 共报错 034 次 (错误率 19.65%)
   比特索引 09 (即第 5 根载波的 I 通道) -> 共报错 034 次 (错误率 19.65%)
   比特索引 14 (即第 7 根载波的 Q 通道) -> 共报错 034 次 (错误率 19.65%)
   比特索引 16 (即第 8 根载波的 Q 通道) -> 共报错 034 次 (错误率 19.65%)
